unique_id,paso_horizonte,demanda_proyectada,p10_pesimista,p90_optimista,modelo
MASS0018,5,0.7507681846618652,0.09757781028747559,18.307964324951172,TimesFM-3.0-PyTorch
MASS0018,6,0.7077784538269043,0.14069151878356934,17.567398071289062,TimesFM-3.0-PyTorch
MASS0018,7,0.6858181953430176,0.07539153099060059,16.522045135498047,TimesFM-3.0-PyTorch
MASS0018,8,0.6134066581726074,0.0,15.518449783325195,TimesFM-3.0-PyTorch
MASS0018,9,0.6364552974700928,0.0,14.902573585510254,TimesFM-3.0-PyTorch
MASS0018,10,0.5964021682739258,0.0,14.357850074768066,TimesFM-3.0-PyTorch
MASS0018,11,0.6369082927703857,0.013449430465698242,13.926326751708984,TimesFM-3.0-PyTorch
MASS0018,12,0.5860991477966309,0.0,13.721681594848633,TimesFM-3.0-PyTorch
MASS0018,13,0.5481915473937988,0.0,13.8585844039917,TimesFM-3.0-PyTorch
MASS0018,14,0.5089104175567627,0.06633377075195312,13.663970947265625,TimesFM-3.0-PyTorch
MASS0018,15,0.46676206588745117,0.0,13.665934562683105,TimesFM-3.0-PyTorch
MASS0019,1,0.025748491287231445,0.0,1.3181450366973877,TimesFM-3.0-PyTorch
MASS0019,2,0.02728438377380371,0.0,1.5514494180679321,TimesFM-3.0-PyTorch
MASS0019,3,0.0277252197265625,0.0,1.8063955307006836,TimesFM-3.0-PyTorch
MASS0019,4,0.016908884048461914,0.0,1.981329083442688,TimesFM-3.0-PyTorch
MASS0019,5,0.02274298667907715,0.0,2.5519962310791016,TimesFM-3.0-PyTorch
MASS0019,6,0.03416919708251953,0.0,3.079214572906494,TimesFM-3.0-PyTorch
MASS0019,7,0.031466007232666016,0.0,3.601572036743164,TimesFM-3.0-PyTorch
MASS0019,8,0.016782522201538086,0.0,4.169347763061523,TimesFM-3.0-PyTorch
MASS0019,9,0.032431602478027344,0.0,4.613527297973633,TimesFM-3.0-PyTorch
MASS0019,10,0.02950763702392578,0.0,5.3215460777282715,TimesFM-3.0-PyTorch
MASS0019,11,0.02735280990600586,0.0,5.661200523376465,TimesFM-3.0-PyTorch
MASS0019,12,0.032532691955566406,0.0,5.851528167724609,TimesFM-3.0-PyTorch
MASS0019,13,0.02441716194152832,0.004539966583251953,6.100589752197266,TimesFM-3.0-PyTorch
MASS0019,14,0.03512740135192871,0.002463102340698242,6.262908935546875,TimesFM-3.0-PyTorch
MASS0019,15,0.03850364685058594,0.018908023834228516,6.263117790222168,TimesFM-3.0-PyTorch
MASS0020,1,1.5538891553878784,0.2917304039001465,18.302833557128906,TimesFM-3.0-PyTorch
MASS0020,2,1.0200393199920654,0.0,16.85533332824707,TimesFM-3.0-PyTorch
MASS0020,3,0.802253007888794,0.0,16.73019027709961,TimesFM-3.0-PyTorch
MASS0020,4,0.7197606563568115,0.0,16.556846618652344,TimesFM-3.0-PyTorch
MASS0020,5,0.7106189727783203,0.0,16.441375732421875,TimesFM-3.0-PyTorch
MASS0020,6,0.753493070602417,0.0,16.091968536376953,TimesFM-3.0-PyTorch
MASS0020,7,0.7594473361968994,0.0,15.584660530090332,TimesFM-3.0-PyTorch
MASS0020,8,0.7255280017852783,0.0,15.057781219482422,TimesFM-3.0-PyTorch
MASS0020,9,0.6992876529693604,0.0,14.572382926940918,TimesFM-3.0-PyTorch
MASS0020,10,0.6790072917938232,0.0,14.107576370239258,TimesFM-3.0-PyTorch
MASS0020,11,0.7189779281616211,0.0,13.596680641174316,TimesFM-3.0-PyTorch
MASS0020,12,0.6522629261016846,0.0,13.132450103759766,TimesFM-3.0-PyTorch
MASS0020,13,0.5505838394165039,0.0,12.94544792175293,TimesFM-3.0-PyTorch
MASS0020,14,0.4831070899963379,0.0,12.342413902282715,TimesFM-3.0-PyTorch
MASS0020,15,0.4111335277557373,0.0,11.734062194824219,TimesFM-3.0-PyTorch
MASS0021,1,0.589350700378418,0.0,23.770782470703125,TimesFM-3.0-PyTorch
MASS0021,2,1.046468734741211,0.0,30.135540008544922,TimesFM-3.0-PyTorch
MASS0021,3,1.4539194107055664,0.0,33.137001037597656,TimesFM-3.0-PyTorch
