sku,demanda_semanal_prom,demanda_semanal_std,cv,n_semanas_historial,total_ventas,total_unidades,costo_unit_trans_prom,stock_actual,costo,cantidad_por_caja,CBMM,costo_final,clase_abc,clase_xyz,clase_abc_xyz,nivel_servicio,cbm_unitario,costo_flete_unitario,costo_puesto,demanda_anual,demanda_esperada_lt,rop,stock_seguridad,eoq_teorico,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,posicion_inventario,requiere_pedido,estado,porcentaje_contenedor
MASS2265,0.2746478873239437,1.6117668653775081,5.868484484195029,142,92.2,39.0,0.82875,18.0,,1.0,0.05,0.82875,C,Z,C-Z,0.75,0.05,4.25,5.07875,14.281690140845072,4.119718309859155,8.330116857534358,4.2103985476752035,43.2977926146266,0,0,0.0,0.0,18.0,False,OK,0.0
MASS2194,0.5211267605633803,3.5404818157086893,6.79389753825181,142,556.47,74.0,3.4433333333333334,133.0,1.8,20.0,0.095201,1.8,C,Z,C-Z,0.75,0.00476005,0.40460425,2.20460425,27.098591549295772,7.816901408450704,17.065658046364867,9.248756637914163,90.52372358035197,0,0,0.0,0.0,133.0,False,OK,0.0
MASS1540,3.0774647887323945,7.040988349044152,2.287918410902219,142,1379.43,437.0,1.2594674556213017,103.0,1.58,1.0,0.001,1.58,B,Z,B-Z,0.85,0.001,0.085,1.665,160.0281690140845,46.16197183098592,74.42512752128397,28.26315569029805,253.13107859088024,0,0,0.0,0.0,103.0,False,OK,0.0
MASS2592,0.3028169014084507,2.208909864374772,7.29453955212134,142,554.6700000000001,43.0,5.2164,193.0,4.35,30.0,0.11158875,4.35,C,Z,C-Z,0.75,0.003719625,0.31616812499999997,4.6661681249999996,15.746478873239436,4.54225352112676,10.31256130241412,5.770307781287359,47.43139595387162,0,0,0.0,0.0,193.0,False,OK,0.0
MASS0905,0.5915492957746479,1.8685714556277302,3.1587755559421153,142,1364.15,84.0,7.780857142857142,58.0,7.2,40.0,0.05,7.2,B,Z,B-Z,0.85,0.00125,0.10625,7.30625,30.76056338028169,8.873239436619718,16.373852042522245,7.500612605902527,52.979060057611505,0,0,0.0,0.0,58.0,False,OK,0.0
MASS1732,0.4295774647887324,1.7560347309282216,4.087818553964057,142,552.28,61.0,4.816206896551724,33.0,5.0,50.0,0.046656,5.0,C,Z,C-Z,0.75,0.0009331200000000001,0.0793152,5.0793152,22.338028169014084,6.443661971830986,11.03092967139104,4.587267699560053,54.14697580097973,0,0,0.0,0.0,33.0,False,OK,0.0
MASS0693,1.3943661971830985,3.250657863540797,2.331279881933299,142,551.03,198.0,0.849811320754717,45.0,0.65,40.0,0.02511,0.65,C,Z,C-Z,0.75,0.00062775,0.05335875,0.70335875,72.50704225352112,20.915492957746476,29.40714608801199,8.491653130265515,262.1537158589149,0,0,0.0,0.0,45.0,False,OK,0.0
MASS1906,6.035211267605634,15.757655787346552,2.6109534676816923,142,9575.6,857.0,4.402564935064935,497.0,4.4,40.0,0.0575535,4.4,AA,Z,AA-Z,0.95,0.0014388375,0.1223011875,4.5223011875,313.830985915493,90.52816901408451,190.91216872628627,100.38399971220176,215.0911489607238,0,0,0.0,0.0,497.0,False,OK,0.0
MASS2233,1.3873239436619718,4.983445775266897,3.5921284268421285,142,9032.25,197.0,14.718198198198198,163.0,15.25,30.0,0.1298,15.25,AA,Z,AA-Z,0.95,0.004326666666666667,0.3677666666666667,15.617766666666666,72.14084507042253,20.809859154929576,52.55685414081283,31.746994985883255,55.49265683640906,0,0,0.0,0.0,163.0,False,OK,0.0
MASS1743,6.894366197183099,31.819684292285075,4.615316822782922,142,8671.93,979.0,3.6667241379310345,751.0,2.35,14.0,0.05,2.35,AA,Z,AA-Z,0.95,0.0035714285714285718,0.3035714285714286,2.6535714285714285,358.50704225352115,103.41549295774648,306.122495950161,202.70700299241452,300.11508459702446,0,0,0.0,0.0,751.0,False,OK,0.0
MASS3003,0.028169014084507043,0.33567254331867563,11.916375287812984,142,34.0,4.0,1.58,196.0,4.74,10.0,0.05,4.74,C,Z,C-Z,0.75,0.005,0.425,5.165,1.4647887323943662,0.4225352112676056,1.2994084236675683,0.8768732123999626,13.750126790553288,0,0,0.0,0.0,196.0,False,OK,0.0
MASS2447,0.04225352112676056,0.2886318776627359,6.830954438018083,142,24.240000000000002,6.0,2.542857142857143,11.0,,1.0,0.05,2.542857142857143,C,Z,C-Z,0.75,0.05,4.25,6.792857142857143,2.197183098591549,0.6338028169014085,1.387792283138086,0.7539894662366775,14.684570703846552,0,0,0.0,0.0,11.0,False,OK,0.0
MASS2446,0.04225352112676056,0.2629143656021785,6.222306652584892,142,24.16,6.0,3.5420000000000003,9.0,,1.0,0.05,3.5420000000000003,C,Z,C-Z,0.75,0.05,4.25,7.792,2.197183098591549,0.6338028169014085,1.3206107460587586,0.6868079291573501,13.710807183514287,0,0,0.0,0.0,9.0,False,OK,0.0
MASS0943,5.23943661971831,10.719459058983855,2.045918261257671,142,12911.66,744.0,7.301057401812689,223.0,5.9,12.0,0.05,5.9,AA,Z,AA-Z,0.95,0.004166666666666667,0.3541666666666667,6.254166666666667,272.4507042253521,78.59154929577466,146.879763584354,68.28821428857935,170.4172734378186,0,0,0.0,0.0,223.0,False,OK,0.0
