Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS2265,lumpy,C,0.85,18.0,5.96785714285714,5.96785714285714,0.0,,0.3978571428571427,3.231,2.4074,13,42,41.142857142857146,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS1510,lumpy,C,0.85,2.0,0.9865384615384614,0.9865384615384614,0.0,,0.06576923076923076,10.4,0.8333,5,135,134.42857142857142,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS2683,sin_datos,C,0.85,11.0,2.142857142857143,2.142857142857143,0.0,,0.14285714285714285,3.0,,1,3,2.7142857142857144,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS0007,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,75,74.42857142857143,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0432,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,80,79.14285714285714,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0048,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,141,140.28571428571428,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0473,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,88,87.71428571428571,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0082,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,90,89.14285714285714,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2533,sin_datos,C,0.85,0.0,0.6749999999999999,0.6749999999999999,0.0,,0.045,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0725,sin_datos,C,0.85,0.0,0.5192307692307693,0.5192307692307693,0.0,,0.03461538461538462,52.0,,1,115,114.14285714285714,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1534,intermittent,C,0.85,30.0,3.1322636929145804,3.1322636929145804,0.0,,0.20881757952763869,5.2,0.2696,10,125,123.85714285714286,0,0,0.0,0.0,0.35,400.0,0.05,OK,False
MASS0871,intermittent,C,0.85,0.0,0.17307692307692307,0.17307692307692307,0.0,,0.011538461538461539,26.0,0.0,2,127,126.57142857142857,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2539,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2538,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2537,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1391,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,99,98.42857142857143,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1485,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,84,82.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1260,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,100,98.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1338,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,137,136.57142857142858,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
